Cod_Dom,Cod_CBO,Nome_CBO
100,0102,Oficiais das forças armadas
200,0201,Oficiais superiores da polícia militar
300,3000,TÉCNICOS MECATRÔNICOS E ELETROMECÂNICOS
401,0201,Oficiais superiores da polícia militar
402,0202,Capitães da  polícia militar
403,0203,Tenentes da polícia militar
411,0212,Cabos e soldados da polícia militar
412,0211,Subtenentes e sargentos da policia militar
413,4130,ESCRITURÁRIOS CONTÁBEIS E DE FINANÇAS
501,0301,Oficiais superiores do corpo de bombeiros militar
502,0302,Oficiais intermediários do corpo de bombeiros militar
503,0303,Tenentes do corpo de bombeiros militar
511,5110,TRABALHADORES DOS SERVIÇOS DE TRANSPORTE E TURISMO
512,5120,TRABALHADORES DOS SERVIÇOS DOMÉSTICOS EM GERAL
513,5130,TRABALHADORES DOS SERVIÇOS DE HOTELARIA E ALIMENTAÇÃO
1122,1140,Dirigentes e administradores de Organização de Interesse Publico
1123,1140,Dirigentes e administradores de Organização de Interesse Publico
1140,1140,Dirigentes e administradores de Organização de Interesse Publico
1219,1210,Diretores Gerais
1220,1220,Diretores de Produção e Operações
1230,1230,Diretores de áreas de apoio
1310,1410,Gerentes de Produção e Operações
1320,1420,Gerentes de áreas de apoio
2121,2120,Profissionais da Informática
2125,3171,Técnicos de Desenvolvimento de Sistemas e Aplicações
2231,2251,Médicos clínicos
2330,2331,Professores do ensino profissional
2340,2340,Professores do Ensino Superior
2391,2241,Profissionais da educação física
2419,2410,Advogados
2421,1113,Magistrados
3136,3134,Técnicos em calibração e instrumentação
3162,2148,Engenheiros agrimensores e engenheiros cartógrafos
3189,3180,DESENHISTAS TÉCNICOS E MODELISTAS
3210,6210,Trabalhadores agropecuários em geral
3214,3213,Técnicos em aqüicultura
3232,2233,Veterinários e zootecnistas
3512,2112,Profissionais de estatística e afins
3525,2543,Auditores fiscais do trabalho
3531,4102,"Supervisores de serviços financeiros, de câmbio e de controle"
3723,3720,"TÉCNICOS EM OPERAÇÃO DE CÂMARA FOTOGRÁFICA , CINEMA E DE TELEVISÃO"
3765,3764,Modelos
3773,3772,Árbitros desportivos
4123,4122,Contínuos
4214,4213,Cobradores e afins
5221,5220,REPOSITORES E REMARCADORES DO COMÉRCIO
6129,6120,PRODUTORES AGRÍCOLAS
6139,6130,PRODUTORES EM PECUÁRIA
6229,6220,TRABALHADORES AGRÍCOLAS
6239,6230,TRABALHADORES NA PECUÁRIA
6319,6310,PESCADORES E CAÇADORES
6329,6320,EXTRATIVISTAS FLORESTAIS
7215,7214,Operadores de máquinas de usinagem cnc
7519,7510,Joalheiros e lapidadores de gemas
7660,7606,Supervisores das artes gráficas
7820,7820,CONDUTORES DE VEÍCULOS E OPERADORES DE EQUIPAMENTOS DE ELEVAÇÃO E DE MOVIMENTAÇÃO DE CARGAS
8339,8330,CONFECCIONADORES DE PRODUTOS DE PAPEL E PAPELÃO
8429,8422,Charuteiros
8491,8481,Trabalhadores artesanais na conservação de alimentos
8492,8482,Trabalhadores artesanais na pasteurização do leite e na fabricação de laticínios e afins
8493,8483,"Padeiros, confeiteiros e afins"
8711,9920,TRABALHADORES ELEMENTARES DA MANUTENÇÃO
